year,character,index,region,security,avg.price,name,size,address,supply,people,rate,rank,sum,value,d.sub,d.hos,cut
2021 1차,청년매입,신규공급,구로구,56.28,3594,대정이오스,29,서울특별시 구로구 오리로 13길 50(대정이오스),10,170,17,2순위,6,157600,840,550,16
2021 1차,청년매입,신규공급,구로구,56.28,3594,대정이오스,29,서울특별시 구로구 오리로 13길 50(대정이오스),10,170,17,2순위,6,157600,840,550,16
2021 1차,청년매입,신규공급,구로구,56.28,3594,대정이오스,29,서울특별시 구로구 오리로 13길 50(대정이오스),10,170,17,2순위,6,157600,840,550,16
2021 1차,청년매입,신규공급,금천구,52.17,2917,아임빌 7차,29,서울특별시 금천구 독산로20길 13(아임빌 7차),6,89,14.8,2순위,6,165400,1000,360,16
2021 1차,청년매입,신규공급,금천구,52.17,2917,아임빌 7차,29,서울특별시 금천구 독산로20길 13(아임빌 7차),6,89,14.8,2순위,6,165400,1000,360,16
2021 1차,청년매입,신규공급,금천구,52.17,2917,아임빌 7차,29,서울특별시 금천구 독산로20길 13(아임빌 7차),6,89,14.8,2순위,6,165400,1000,360,16
2022 2차,청년매입,재공급,강동구,57.75,4686,천호파크빌1,24,서울특별시 강동구 천중로18길 10 천호파크빌1 (천호동 364-6외),4,67,16.8,2순위,5,164700,480,410,15
2022 2차,청년매입,재공급,강동구,57.75,4686,은슬림8,30,"서울특별시 강동구 진황도로23길 22, 은슬림8 (천호동 541외)",2,37,18.5,2순위,5,273600,380,290,15
2022 2차,청년매입,재공급,강동구,57.75,4686,강동서영스윗홈6,27,"서울특별시 강동구 양재대로91길 82, 강동서영스윗홈6 (성내동 420-49)",2,27,13.5,2순위,5,224900,470,400,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,성내어반스,27,"서울특별시 강동구 성안로9길 42-11, 성내어반스 (성내동 525-8)",8,113,14.1,2순위,5,215100,550,270,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,25,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",5,59,11.8,2순위,5,230900,410,420,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,36,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",2,30,15,2순위,5,330900,410,420,15
2022 2차,청년매입,재공급,강동구,57.75,4686,천호파크빌1,24,서울특별시 강동구 천중로18길 10 천호파크빌1 (천호동 364-6외),4,67,16.8,2순위,5,164700,480,410,15
2022 2차,청년매입,재공급,강동구,57.75,4686,은슬림8,30,"서울특별시 강동구 진황도로23길 22, 은슬림8 (천호동 541외)",2,37,18.5,2순위,5,273600,380,290,15
2022 2차,청년매입,재공급,강동구,57.75,4686,강동서영스윗홈6,27,"서울특별시 강동구 양재대로91길 82, 강동서영스윗홈6 (성내동 420-49)",2,27,13.5,2순위,5,224900,470,400,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,성내어반스,27,"서울특별시 강동구 성안로9길 42-11, 성내어반스 (성내동 525-8)",8,113,14.1,2순위,5,215100,550,270,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,25,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",5,59,11.8,2순위,5,230900,410,420,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,36,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",2,30,15,2순위,5,330900,410,420,15
2022 2차,청년매입,재공급,강동구,57.75,4686,천호파크빌1,24,서울특별시 강동구 천중로18길 10 천호파크빌1 (천호동 364-6외),4,67,16.8,2순위,5,164700,480,410,15
2022 2차,청년매입,재공급,강동구,57.75,4686,은슬림8,30,"서울특별시 강동구 진황도로23길 22, 은슬림8 (천호동 541외)",2,37,18.5,2순위,5,273600,380,290,15
2022 2차,청년매입,재공급,강동구,57.75,4686,강동서영스윗홈6,27,"서울특별시 강동구 양재대로91길 82, 강동서영스윗홈6 (성내동 420-49)",2,27,13.5,2순위,5,224900,470,400,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,성내어반스,27,"서울특별시 강동구 성안로9길 42-11, 성내어반스 (성내동 525-8)",8,113,14.1,2순위,5,215100,550,270,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,25,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",5,59,11.8,2순위,5,230900,410,420,15
2022 2차,청년매입,신규공급,강동구,57.75,4686,더클래스길동2,36,"서울특별시 강동구 천중로49가길 47, 더클래스길동2(길동 342-30)",2,30,15,2순위,5,330900,410,420,15
2022 2차,청년매입,신규공급,강북구,51.71,3158,도원휴먼빌,33,"서울특별시 강북구 삼양로163가길 10, 도원휴먼빌 (우이동 32-3)",8,80,10,2순위,5,205900,210,130,15
2022 2차,청년매입,신규공급,강북구,51.71,3158,도원휴먼빌,33,"서울특별시 강북구 삼양로163가길 10, 도원휴먼빌 (우이동 32-3)",8,80,10,2순위,5,205900,210,130,15
2022 2차,청년매입,신규공급,강북구,51.71,3158,도원휴먼빌,33,"서울특별시 강북구 삼양로163가길 10, 도원휴먼빌 (우이동 32-3)",8,80,10,2순위,5,205900,210,130,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채,30,"서울특별시 구로구 고척로21가길 32-10, 하늘사랑채 (개봉동 33-72)",1,32,32,2순위,5,117500,730,950,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,21,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",7,62,8.9,2순위,5,106700,570,400,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,30,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",5,55,11,2순위,5,156700,570,400,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,33,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",2,27,13.5,2순위,5,203800,810,1000,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,아이빌11차,29,"서울특별시 구로구 경인로47다길 20-3, 아이빌11차(고척동 57-19)",16,124,7.8,2순위,5,196600,590,310,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채,30,"서울특별시 구로구 고척로21가길 32-10, 하늘사랑채 (개봉동 33-72)",1,32,32,2순위,5,117500,730,950,15
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채6차,21,"서울특별시 구로구 경인로15가길 38, 하늘사랑채6차 (오류동 81-117)",7,62,8.9,2순위,5,106700,570,400,15
